RAM 2132/3964MB (lfb 63x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [8%@102,2%@102,3%@204,0%@204] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34C PMIC@50C GPU@31C AO@42C thermal@31.5C POM_5V_IN 6818/6451 POM_5V_GPU 4239/3936 POM_5V_CPU 122/132
RAM 2132/3964MB (lfb 63x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,4%@102,1%@204,2%@204] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34C PMIC@50C GPU@31C AO@42C thermal@32.5C POM_5V_IN 6818/6459 POM_5V_GPU 4280/3943 POM_5V_CPU 122/132
RAM 2132/3964MB (lfb 63x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [8%@102,2%@102,3%@102,2%@102] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@31C AO@42.5C thermal@32.5C POM_5V_IN 6859/6467 POM_5V_GPU 4321/3951 POM_5V_CPU 122/131
RAM 2132/3964MB (lfb 63x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,3%@102,3%@102,1%@102] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34.5C PMIC@50C GPU@31C AO@42.5C thermal@32.5C POM_5V_IN 6859/6475 POM_5V_GPU 4321/3959 POM_5V_CPU 122/131
RAM 2132/3964MB (lfb 63x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [9%@102,3%@102,4%@102,0%@102] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34C PMIC@50C GPU@31C AO@42C thermal@31.5C POM_5V_IN 6818/6482 POM_5V_GPU 4280/3965 POM_5V_CPU 122/131
RAM 2132/3964MB (lfb 63x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [8%@102,2%@102,1%@102,2%@102] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@34C PMIC@50C GPU@31.5C AO@42C thermal@32.5C POM_5V_IN 6778/6488 POM_5V_GPU 4239/3970 POM_5V_CPU 122/131
RAM 2132/3964MB (lfb 63x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [9%@102,1%@102,2%@102,3%@102] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34C PMIC@50C GPU@31C AO@41.5C thermal@32.5C POM_5V_IN 6818/6494 POM_5V_GPU 4199/3975 POM_5V_CPU 122/131
RAM 2132/3964MB (lfb 63x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [9%@102,3%@102,3%@102,2%@102] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34.5C PMIC@50C GPU@31C AO@42C thermal@31.25C POM_5V_IN 6818/6500 POM_5V_GPU 4199/3979 POM_5V_CPU 122/130
RAM 2132/3964MB (lfb 63x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,4%@204,1%@204,1%@204] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34C PMIC@50C GPU@31C AO@41.5C thermal@32.5C POM_5V_IN 6859/6507 POM_5V_GPU 4205/3983 POM_5V_CPU 122/130
RAM 2132/3964MB (lfb 63x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [8%@102,2%@102,4%@102,1%@102] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@34C PMIC@50C GPU@31C AO@42C thermal@32.5C POM_5V_IN 6818/6513 POM_5V_GPU 4239/3988 POM_5V_CPU 122/130
RAM 2132/3964MB (lfb 63x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,4%@102,3%@102,1%@102] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@34C PMIC@50C GPU@31C AO@42C thermal@32.5C POM_5V_IN 6818/6518 POM_5V_GPU 4239/3992 POM_5V_CPU 122/130
RAM 2132/3964MB (lfb 63x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [9%@102,3%@102,1%@102,0%@102] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@33.5C PMIC@50C GPU@31C AO@42C thermal@32C POM_5V_IN 6859/6524 POM_5V_GPU 4239/3997 POM_5V_CPU 122/130
RAM 2132/3964MB (lfb 63x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [8%@102,4%@102,1%@102,1%@204] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34C PMIC@50C GPU@31C AO@42.5C thermal@31.75C POM_5V_IN 6900/6531 POM_5V_GPU 4199/4000 POM_5V_CPU 122/130
