Model Name,Layers,Total Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_PMIC,Avrg_AO,Avrg_THERMAL,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_PLL,Avrg_GPU_TEMP,Avrg_CPU_TEMP,Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,num_inferences,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L6_F128_K1x1_3_K3x3_3_W50,6,4490378,1397574666,ConvNet,50,1811.9322033898304,217.0,0.0,10.73728813559322,87.27118644067797,47.72881355932204,25.0,50.0,39.5,31.45673076923077,6075.135593220339,3268.542372881356,246.3728813559322,27.566666666666663,30.1,32.885714285714286,358433.0,192844.0,14536.0,2844.0,29.7068738937377,67.80731364275668,5.111111111111111
convnet_L6_F128_K1x1_3_K3x3_3_W60,6,6051978,1961796106,ConvNet,60,1820.0,217.0,0.0,11.347457627118644,85.44067796610169,47.16949152542373,25.0,50.0,39.08139534883721,31.1436170212766,5855.033898305085,3131.8474576271187,204.35593220338984,27.2,29.966666666666665,32.391304347826086,345447.0,184779.0,12057.0,2103.0,27.495410442352203,87.8644793152639,5.733238231098431
convnet_L6_F128_K1x1_3_K3x3_3_W70,6,7869578,2621531146,ConvNet,70,1829.0,217.0,0.0,9.313559322033898,86.47457627118644,49.50847457627118,25.0,50.0,39.46875,31.275,6094.016949152542,3307.4576271186443,194.84745762711864,27.529411764705884,30.13043478260869,32.63333333333333,359547.0,195140.0,11496.0,1652.0,35.686860084533606,118.12348668280872,6.958837772397095
convnet_L6_F128_K1x1_3_K3x3_3_W80,6,9943178,3376779786,ConvNet,80,1844.0,217.0,0.0,9.122881355932204,88.55932203389831,48.59322033898305,25.0,50.0,39.56060606060606,31.33152173913044,5995.525423728814,3261.2203389830506,169.89830508474577,27.566666666666663,30.12,32.592592592592595,353736.0,192412.0,10024.0,1234.0,47.9837846755981,155.92544570502432,8.123176661264182
convnet_L6_F128_K1x1_3_K3x3_3_W90,6,12272778,4227542026,ConvNet,90,1853.033898305085,217.0,0.0,8.779661016949152,86.05084745762711,40.6271186440678,25.0,50.0,39.90625,31.409574468085108,5888.627118644068,3363.5254237288136,170.01694915254237,27.43243243243243,30.096774193548388,32.81818181818182,347429.0,198448.0,10031.0,1165.0,51.3260650634765,170.34163090128754,8.61030042918455
convnet_L6_F128_K1x1_3_K3x3_3_W100,6,14858378,5173817866,ConvNet,100,1868.0,217.0,0.0,7.478813559322034,90.30508474576273,50.96610169491525,25.0,50.0,39.588235294117645,31.053571428571427,6235.050847457627,3407.338983050848,154.1864406779661,26.954545454545453,29.818181818181817,32.47222222222222,367868.0,201033.0,9097.0,873.0,69.2992281913757,230.278350515464,10.420389461626575
convnet_L6_F128_K1x1_3_K4x4_3_W40,6,3187082,1454235786,ConvNet,40,1801.372881355932,217.0,0.0,11.135593220338984,83.71186440677967,17.508474576271187,25.0,50.0,40.5625,31.97023809523809,5603.542372881356,3486.542372881356,213.542372881356,27.166666666666668,30.28,33.6,330609.0,205706.0,12599.0,2558.0,24.2400884628295,80.41673182173574,4.925332290852229
convnet_L6_F128_K1x1_3_K4x4_3_W50,6,4415882,2227586186,ConvNet,50,1808.4745762711864,217.0,0.0,9.504237288135592,82.13559322033899,18.35593220338983,25.0,50.0,40.73333333333333,31.61904761904762,5689.067796610169,3617.847457627119,180.32203389830508,27.035714285714285,30.035714285714285,33.3,335655.0,213453.0,10639.0,1727.0,34.1713261604309,123.59756803705848,6.160393746381008
convnet_L6_F128_K1x1_3_K4x4_3_W60,6,5900682,3165262986,ConvNet,60,1819.344827586207,217.0,0.0,9.280172413793103,85.13793103448276,18.67241379310345,25.0,50.0,40.59090909090909,31.696428571428573,5782.706896551724,3674.655172413793,165.43103448275863,27.071428571428573,30.24137931034483,33.333333333333336,335397.0,213130.0,9595.0,1237.0,47.812271118164006,172.29587712206953,7.756669361358124
convnet_L6_F128_K1x1_3_K4x4_3_W70,6,7641482,4267266186,ConvNet,70,1827.0677966101696,217.0,0.0,7.919491525423729,93.28813559322032,19.42372881355932,25.0,50.0,40.4,31.7093023255814,5760.067796610169,3538.2033898305085,165.66101694915255,27.0,30.310344827586206,33.18421052631579,339844.0,208754.0,9774.0,944.0,63.5842442512512,221.1377118644068,10.353813559322036
