Model Name,Layers,Total Parameters,Convolution Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_PMIC,Avrg_AO,Avrg_THERMAL,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_PLL,Avrg_GPU_TEMP,Avrg_CPU_TEMP,Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,num_inferences,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L9_F256_K3x3_W40_DWS,9,4643880,547870,880688010,dws,40,1652.322033898305,159.0,0.0,12.580508474576272,86.01694915254237,24.23728813559322,25.0,50.0,40.24418604651163,31.571428571428573,5616.508474576272,3309.694915254237,259.7457627118644,27.0,30.416666666666668,33.0,331374.0,195272.0,15325.0,2935,21.4534974098205,66.53219761499149,5.221465076660988
convnet_L9_F256_K3x3_W50_DWS,9,6947880,547870,1376075010,dws,50,1665.0,159.0,0.0,10.27155172413793,90.15517241379312,36.08620689655172,25.0,50.0,40.1,31.5,5935.086206896552,3370.5,212.27586206896552,27.366666666666667,30.2,33.08,344235.0,195489.0,12312.0,1816,36.5687370300292,107.64812775330397,6.779735682819383
convnet_L9_F256_K3x3_W60_DWS,9,9763880,547870,1981548010,dws,60,1679.767857142857,159.0,0.0,9.674107142857142,93.80357142857144,34.82142857142857,25.0,50.0,39.39655172413793,31.388297872340427,5826.160714285715,3256.339285714286,181.82142857142856,27.210526315789476,30.20833333333333,32.714285714285715,326265.0,182355.0,10182.0,1239,54.3222713470459,147.17917675544794,8.217917675544793
convnet_L9_F256_K3x3_W70_DWS,9,13091880,547870,2697107010,dws,70,1694.0,159.0,0.0,8.790178571428571,91.55357142857144,36.57142857142857,25.0,50.0,39.87931034482759,31.33125,5914.75,3380.803571428572,166.71428571428572,27.03030303030303,30.16,32.73913043478261,331226.0,189325.0,9336.0,934,63.132605552673304,202.703426124197,9.995717344753748
convnet_L9_F256_K3x3_W80_DWS,9,16931880,547870,3522752010,dws,80,1710.7931034482758,159.0,0.0,7.797413793103448,94.24137931034484,36.793103448275865,25.0,50.0,40.196969696969695,31.444444444444443,5915.482758620689,3416.620689655173,160.8793103448276,27.103448275862068,30.3,32.875,343098.0,198164.0,9331.0,736,80.5221652984619,269.2445652173913,12.677989130434783
convnet_L9_F256_K3x3_W90_DWS,9,21283880,547870,4458483010,dws,90,1733.3793103448277,159.0,0.0,7.0,95.43103448275862,37.77586206896552,25.0,50.0,39.67142857142857,31.425,6027.931034482759,3372.3275862068967,150.20689655172413,27.0,30.40625,32.666666666666664,349620.0,195595.0,8712.0,586,101.6217732429504,333.7798634812287,14.866894197952218
convnet_L9_F256_K3x3_W100_DWS,9,26147880,547870,5504300010,dws,100,1756.0,159.0,0.0,5.9907407407407405,93.61111111111111,37.7962962962963,25.0,50.0,40.2027027027027,31.343023255813957,6026.925925925926,3495.537037037037,150.5185185185185,26.75,30.0,32.81481481481482,325454.0,188759.0,8128.0,484,123.3967208862304,389.99793388429754,16.793388429752067
convnet_L9_F256_K4x4_W10_DWS,9,1486397,562227,138817061,dws,10,1638.0,159.0,0.0,16.122881355932204,86.27118644067797,20.966101694915253,25.0,50.0,38.56060606060606,30.66111111111111,5124.101694915255,2777.135593220339,367.0,26.77142857142857,29.35483870967742,31.88888888888889,302322.0,163851.0,21653.0,9133,7.1223187446594,17.940545275375015,2.3708529508376217
convnet_L9_F256_K4x4_W20_DWS,9,2715197,562227,370462181,dws,20,1644.372881355932,159.0,0.0,12.809322033898304,88.55932203389831,25.1864406779661,25.0,50.0,38.75,30.76630434782609,5362.830508474576,3008.4576271186443,277.33898305084745,26.785714285714285,29.48275862068965,32.07142857142857,316407.0,177499.0,16363.0,4260,15.4939937591552,41.66643192488263,3.841079812206573
convnet_L9_F256_K4x4_W30_DWS,9,4455997,562227,715064701,dws,30,1650.050847457627,159.0,0.0,10.932203389830509,87.35593220338983,26.610169491525426,25.0,50.0,39.22222222222222,30.91489361702128,5453.762711864407,3108.694915254237,236.94915254237287,26.642857142857142,29.666666666666668,32.208333333333336,321772.0,183413.0,13980.0,2380,24.8689937591552,77.06428571428572,5.873949579831932
