Model Name,Layers,Total Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_PMIC,Avrg_AO,Avrg_THERMAL,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_CPU_TEMP,Avrg_GPU_TEMP,Avrg_PLL,Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,num_inferences,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L3_F512_K2x2_W100,3,62935562,24383211530,ConvNet,100,2207.0,445.0,0.0,2.0720338983050848,96.9322033898305,22.491525423728813,25.0,50.0,40.24074074074074,31.05952380952381,6422.949152542373,4283.406779661017,139.20338983050848,32.82142857142857,29.34375,25.875,378954.0,252721.0,8213.0,169,354.85913991928095,1495.3905325443786,48.59763313609467
convnet_L3_F512_K4x4_W40,3,17881610,15207510026,ConvNet,40,1738.0,443.0,0.0,2.784482758620689,98.0,13.810344827586206,25.0,50.0,41.52941176470589,32.70454545454545,6185.0344827586205,4021.396551724138,127.91379310344828,34.0,31.0,27.03125,358732.0,233241.0,7419.0,353,169.8731350898742,660.7393767705382,21.01699716713881
convnet_L3_F512_K4x4_W50,3,22796810,23205656586,ConvNet,50,1762.0,443.0,0.0,2.415254237288136,98.45762711864408,15.169491525423728,25.0,50.0,42.638888888888886,32.323170731707314,6766.440677966101,4714.338983050848,136.01694915254237,34.45454545454545,30.571428571428573,26.852941176470587,399220.0,278146.0,8025.0,235,255.3201174736023,1183.6,34.148936170212764
convnet_L3_F512_K4x4_W60,3,28736010,32887771146,ConvNet,60,1785.0,442.0,0.0,2.2245762711864407,98.79661016949152,15.66101694915254,25.0,50.0,42.92857142857143,32.392857142857146,6782.423728813559,4710.457627118644,135.22033898305085,34.285714285714285,30.53333333333333,26.517241379310345,400163.0,277917.0,7978.0,165,364.1332960128784,1684.3454545454545,48.35151515151515
convnet_L3_F512_K4x4_W70,3,35699210,44253853706,ConvNet,70,1816.084745762712,442.0,0.0,2.351694915254237,96.6271186440678,15.847457627118644,25.0,50.0,42.82432432432432,32.217948717948715,6844.033898305085,4802.627118644068,128.91525423728814,34.53125,30.580645161290324,26.735294117647054,403798.0,283355.0,7606.0,126,479.1438126564026,2248.8492063492063,60.36507936507937
convnet_L3_F1024_K2x2_W30,3,23979018,11848310794,ConvNet,30,2000.6206896551723,449.0,0.0,3.581896551724138,94.6896551724138,26.24137931034483,25.0,50.0,39.88709677419355,30.47340425531915,6280.482758620689,3973.413793103448,132.48275862068965,32.24,28.863636363636363,25.7027027027027,364268.0,230458.0,7684.0,299,201.06977701187128,770.7625418060201,25.698996655518396
convnet_L3_F1024_K2x2_W40,3,32990218,18999496714,ConvNet,40,2036.0,449.0,0.0,2.3135593220338984,96.52542372881356,23.57627118644068,25.0,50.0,40.59375,30.816666666666663,6292.406779661017,4071.576271186441,131.57627118644066,32.68181818181818,29.307692307692307,25.814814814814813,371252.0,240223.0,7763.0,193,311.6478395462036,1244.678756476684,40.22279792746114
convnet_L3_F1024_K2x2_W50,3,44049418,27833524234,ConvNet,50,2084.0,448.0,0.0,2.9915254237288136,99.0,23.16949152542373,25.0,50.0,41.385714285714286,31.335227272727277,6754.762711864407,4495.813559322034,128.10169491525423,33.36,29.529411764705884,26.06896551724138,398531.0,265253.0,7558.0,164,366.1998391151428,1617.3963414634147,46.08536585365854
convnet_L3_F1024_K2x2_W60,3,57156618,38350393354,ConvNet,60,2146.0,448.0,0.0,2.7838983050847457,97.84745762711864,24.42372881355932,25.0,50.0,42.23529411764706,31.75520833333333,6791.71186440678,4550.6949152542375,127.27118644067797,33.714285714285715,30.14814814814815,26.44117647058824,400711.0,268491.0,7509.0,116,519.6257519721985,2314.5775862068967,64.73275862068965
convnet_L3_F1024_K4x4_W20,3,39023626,17023901706,ConvNet,20,1814.9830508474577,446.0,0.0,2.805084745762712,95.05084745762711,13.677966101694915,25.0,50.0,42.96666666666667,32.8375,6547.847457627118,4493.864406779661,133.40677966101694,34.85294117647059,30.944444444444443,27.09375,386323.0,265138.0,7871.0,297,201.2143325805664,892.7205387205387,26.5016835016835
convnet_L3_F1024_K4x4_W30,3,44758026,35511791626,ConvNet,30,1837.542372881356,446.0,0.0,2.194915254237288,97.20338983050848,13.254237288135592,25.0,50.0,43.148648648648646,32.59027777777778,6813.101694915255,4779.593220338983,146.94915254237287,34.76315789473684,30.466666666666665,26.70967741935484,401973.0,281996.0,8670.0,159,381.08818054199213,1773.559748427673,54.528301886792455
