Model Name,Layers,Total Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_PLL,Avrg_PMIC,Avrg_THERMAL,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_CPU_TEMP,Avrg_GPU_TEMP,Avrg_AO,Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,num_inferences,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L2_F256_K4x4_1_K5x5_1_W55,2,9116170,4825123850,ConvNet,55,1623.033898305085,214.0,0.0,4.864406779661017,89.69491525423729,17.559322033898304,25.0,26.17241379310345,50.0,31.156976744186046,6114.661016949152,4064.186440677966,133.72881355932202,33.30555555555556,29.285714285714285,40.71875,360765.0,239787.0,7890.0,959,61.2950181961059,250.0385818561001,8.227320125130344
convnet_L2_F256_K4x4_1_K5x5_1_W60,2,10562570,5759749130,ConvNet,60,1635.0,214.0,0.0,4.5,89.15517241379311,10.741379310344827,25.0,26.0,50.0,31.30978260869565,5929.620689655172,4084.620689655173,126.1206896551724,33.628571428571426,29.53846153846154,40.78125,343918.0,236908.0,7315.0,830,71.8622970581054,285.4313253012048,8.813253012048193
convnet_L2_F256_K4x4_1_K5x5_1_W65,2,12136970,6777062410,ConvNet,65,1645.949152542373,214.0,0.0,3.8262711864406778,91.27118644067797,10.76271186440678,25.0,26.0,50.0,31.494791666666668,6087.067796610169,4229.728813559322,123.83050847457628,33.56410256410256,29.79310344827586,41.03333333333333,359137.0,249554.0,7306.0,729,84.5775008201599,342.32373113854595,10.021947873799725
convnet_L2_F256_K4x4_1_K5x5_1_W70,2,13839370,7877063690,ConvNet,70,1647.0169491525423,214.0,0.0,3.360169491525424,94.35593220338984,18.271186440677965,25.0,26.08333333333333,50.0,31.329787234042552,6204.847457627118,4139.864406779661,124.32203389830508,33.56,29.63636363636364,40.672413793103445,366086.0,244252.0,7335.0,595,100.2413272857666,410.50756302521006,12.327731092436975
convnet_L2_F256_K4x4_1_K5x5_1_W75,2,15669770,9059752970,ConvNet,75,1660.0,214.0,0.0,3.2327586206896552,98.48275862068964,18.39655172413793,25.0,26.318181818181817,50.0,31.482954545454547,5879.482758620689,3634.0689655172414,125.96551724137932,32.69230769230769,29.657894736842103,39.65151515151515,341010.0,210776.0,7306.0,529,112.9387187957763,398.4423440453686,13.810964083175804
convnet_L2_F256_K4x4_1_K5x5_1_W80,2,17628170,10325130250,ConvNet,80,1664.0,214.0,0.0,2.98728813559322,95.28813559322032,18.47457627118644,25.0,26.1,50.0,31.4375,6240.542372881356,4155.0,123.54237288135592,33.3448275862069,29.8,40.7,368192.0,245145.0,7289.0,462,127.8602290153503,530.6168831168832,15.777056277056277
convnet_L2_F256_K4x4_1_K5x5_1_W85,2,19714570,11673195530,ConvNet,85,1681.0,214.0,0.0,2.875,89.51724137931035,18.517241379310345,25.0,26.344827586206897,50.0,31.587209302325583,5925.827586206897,3779.379310344827,133.10344827586206,32.96296296296296,29.58620689655172,40.08620689655172,343698.0,219204.0,7720.0,414,143.90389204025269,529.4782608695652,18.647342995169083
convnet_L2_F256_K4x4_1_K5x5_1_W90,2,21928970,13103948810,ConvNet,90,1686.0,214.0,0.0,2.646551724137931,94.17241379310344,18.41379310344828,25.0,26.029411764705884,50.0,31.551136363636363,6307.896551724138,4239.586206896552,126.36206896551724,33.6,29.766666666666666,41.14705882352941,365858.0,245896.0,7329.0,366,162.1080684661865,671.8469945355191,20.024590163934427
convnet_L2_F256_K4x4_1_K5x5_1_W95,2,24271370,14617390090,ConvNet,95,1697.9830508474577,214.0,0.0,2.190677966101695,95.38983050847456,13.084745762711863,25.0,26.548387096774192,50.0,32.205128205128204,6486.576271186441,4555.440677966101,124.03389830508476,34.38235294117647,30.12903225806452,41.46875,382708.0,268771.0,7318.0,344,173.6027288436889,781.3110465116279,21.273255813953487
convnet_L2_F256_K4x4_1_K5x5_1_W100,2,26741770,16213519370,ConvNet,100,1710.0,214.0,0.0,2.4110169491525424,96.135593220339,18.79661016949153,25.0,26.285714285714285,50.0,31.5343137254902,6389.932203389831,4324.440677966101,124.69491525423727,33.774193548387096,29.454545454545453,41.36486486486486,377006.0,255142.0,7357.0,299,199.3782758712768,853.3177257525084,24.60535117056856
