RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@710,41%@710,8%@710,8%@710] EMC_FREQ 31%@1600 GR3D_FREQ 87%@921 APE 25 PLL@28C CPU@32.5C PMIC@50C GPU@30C AO@39C thermal@31.5C POM_5V_IN 5300/5278 POM_5V_GPU 2608/2655 POM_5V_CPU 413/400
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@710,43%@710,5%@710,5%@710] EMC_FREQ 31%@1600 GR3D_FREQ 88%@921 APE 25 PLL@28C CPU@32.5C PMIC@50C GPU@30.5C AO@39C thermal@31.25C POM_5V_IN 5225/5277 POM_5V_GPU 2608/2654 POM_5V_CPU 372/399
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@710,47%@710,6%@710,3%@710] EMC_FREQ 31%@1600 GR3D_FREQ 87%@921 APE 25 PLL@28.5C CPU@32.5C PMIC@50C GPU@30.5C AO@39C thermal@31.5C POM_5V_IN 5300/5277 POM_5V_GPU 2608/2653 POM_5V_CPU 414/399
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@614,47%@614,9%@614,5%@614] EMC_FREQ 31%@1600 GR3D_FREQ 86%@921 APE 25 PLL@28C CPU@33C PMIC@50C GPU@30.5C AO@39.5C thermal@31.75C POM_5V_IN 5300/5278 POM_5V_GPU 2691/2654 POM_5V_CPU 414/400
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@825,42%@825,8%@825,7%@825] EMC_FREQ 31%@1600 GR3D_FREQ 86%@921 APE 25 PLL@28C CPU@32.5C PMIC@50C GPU@30.5C AO@39.5C thermal@31.5C POM_5V_IN 5341/5279 POM_5V_GPU 2691/2654 POM_5V_CPU 413/400
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@710,48%@710,7%@710,3%@710] EMC_FREQ 31%@1600 GR3D_FREQ 86%@921 APE 25 PLL@28C CPU@33C PMIC@50C GPU@30.5C AO@39.5C thermal@31.5C POM_5V_IN 5266/5279 POM_5V_GPU 2691/2655 POM_5V_CPU 372/399
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@614,43%@614,8%@614,7%@614] EMC_FREQ 31%@1600 GR3D_FREQ 86%@921 APE 25 PLL@28C CPU@32.5C PMIC@50C GPU@30.5C AO@39.5C thermal@31.5C POM_5V_IN 5184/5277 POM_5V_GPU 2567/2653 POM_5V_CPU 373/399
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@710,47%@710,5%@710,6%@710] EMC_FREQ 31%@1600 GR3D_FREQ 87%@921 APE 25 PLL@28C CPU@33C PMIC@50C GPU@30.5C AO@39.5C thermal@31.5C POM_5V_IN 5341/5278 POM_5V_GPU 2608/2652 POM_5V_CPU 414/399
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@614,45%@614,5%@614,6%@710] EMC_FREQ 31%@1600 GR3D_FREQ 84%@921 APE 25 PLL@28C CPU@33C PMIC@50C GPU@30.5C AO@39C thermal@31.75C POM_5V_IN 5258/5278 POM_5V_GPU 2608/2652 POM_5V_CPU 414/399
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@710,46%@710,3%@710,10%@710] EMC_FREQ 31%@1600 GR3D_FREQ 87%@921 APE 25 PLL@28C CPU@32.5C PMIC@50C GPU@30.5C AO@39.5C thermal@31.5C POM_5V_IN 5300/5278 POM_5V_GPU 2608/2651 POM_5V_CPU 414/400
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@307,43%@307,6%@307,8%@307] EMC_FREQ 31%@1600 GR3D_FREQ 81%@921 APE 25 PLL@28C CPU@32.5C PMIC@50C GPU@30.5C AO@39C thermal@31.25C POM_5V_IN 5184/5276 POM_5V_GPU 2608/2650 POM_5V_CPU 372/399
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@614,45%@614,6%@614,7%@614] EMC_FREQ 31%@1600 GR3D_FREQ 84%@921 APE 25 PLL@28C CPU@32.5C PMIC@50C GPU@30.5C AO@40C thermal@31.5C POM_5V_IN 5258/5276 POM_5V_GPU 2650/2650 POM_5V_CPU 372/399
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@614,40%@614,11%@614,9%@614] EMC_FREQ 31%@1600 GR3D_FREQ 82%@921 APE 25 PLL@28C CPU@32.5C PMIC@50C GPU@30.5C AO@39.5C thermal@31.5C POM_5V_IN 5225/5275 POM_5V_GPU 2687/2651 POM_5V_CPU 414/399
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@710,43%@710,12%@710,7%@710] EMC_FREQ 31%@1600 GR3D_FREQ 87%@921 APE 25 PLL@28C CPU@33C PMIC@50C GPU@30.5C AO@39.5C thermal@31.75C POM_5V_IN 5300/5275 POM_5V_GPU 2608/2650 POM_5V_CPU 414/399
