RAM 1719/3964MB (lfb 81x4MB) SWAP 138/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,0%@204,10%@204,0%@204] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@31C PMIC@50C GPU@28.5C AO@38C thermal@29.25C POM_5V_IN 5953/5984 POM_5V_GPU 3596/3678 POM_5V_CPU 124/129
RAM 1719/3964MB (lfb 81x4MB) SWAP 138/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,4%@204,9%@204,5%@204] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@32.5C PMIC@50C GPU@28.5C AO@40C thermal@30C POM_5V_IN 6522/5995 POM_5V_GPU 4259/3690 POM_5V_CPU 123/129
RAM 1719/3964MB (lfb 81x4MB) SWAP 138/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,2%@204,4%@204,6%@204] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@32C PMIC@50C GPU@28.5C AO@40C thermal@29.75C POM_5V_IN 6378/6003 POM_5V_GPU 4067/3697 POM_5V_CPU 164/129
RAM 1719/3964MB (lfb 81x4MB) SWAP 138/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,4%@204,2%@204,10%@204] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@32C PMIC@50C GPU@28.5C AO@39.5C thermal@29.25C POM_5V_IN 6058/6004 POM_5V_GPU 3868/3700 POM_5V_CPU 164/130
RAM 1719/3964MB (lfb 81x4MB) SWAP 138/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [9%@307,3%@204,10%@204,3%@204] EMC_FREQ 29%@1600 GR3D_FREQ 59%@921 APE 25 PLL@25C CPU@30.5C PMIC@50C GPU@28C AO@38.5C thermal@29.25C POM_5V_IN 5241/5989 POM_5V_GPU 3198/3691 POM_5V_CPU 124/130
RAM 1719/3964MB (lfb 81x4MB) SWAP 138/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,1%@102,10%@102,2%@102] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@30.5C PMIC@50C GPU@28.5C AO@37.5C thermal@30.25C POM_5V_IN 5449/5979 POM_5V_GPU 3120/3680 POM_5V_CPU 124/130
RAM 1719/3964MB (lfb 81x4MB) SWAP 138/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,1%@102,9%@102,2%@102] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@32C PMIC@50C GPU@28.5C AO@38C thermal@29.5C POM_5V_IN 6036/5980 POM_5V_GPU 3596/3678 POM_5V_CPU 124/130
RAM 1719/3964MB (lfb 81x4MB) SWAP 138/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,4%@204,11%@204,3%@204] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@32C PMIC@50C GPU@28.5C AO@40C thermal@29.5C POM_5V_IN 6532/5990 POM_5V_GPU 4266/3689 POM_5V_CPU 123/130
RAM 1719/3964MB (lfb 81x4MB) SWAP 138/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,5%@102,11%@102,4%@204] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@32C PMIC@50C GPU@28.5C AO@40C thermal@30C POM_5V_IN 6378/5997 POM_5V_GPU 4067/3696 POM_5V_CPU 164/130
RAM 1719/3964MB (lfb 81x4MB) SWAP 138/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [5%@307,1%@307,12%@307,3%@307] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@32C PMIC@50C GPU@28.5C AO@40C thermal@29.5C POM_5V_IN 6141/6000 POM_5V_GPU 3909/3700 POM_5V_CPU 164/131
RAM 1719/3964MB (lfb 81x4MB) SWAP 138/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,2%@102,7%@102,2%@102] EMC_FREQ 29%@1600 GR3D_FREQ 64%@921 APE 25 PLL@24.5C CPU@31.5C PMIC@50C GPU@28C AO@39C thermal@30.25C POM_5V_IN 5515/5991 POM_5V_GPU 3436/3695 POM_5V_CPU 124/131
