Model Name,Layers,Total Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_PMIC,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_AO,Avrg_THERMAL,Avrg_PLL,Avrg_GPU_TEMP,Avrg_CPU_TEMP,Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,num_inferences,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L3_F512_K2x2_W75,3,38231562,14362053130,ConvNet,75,2092.64406779661,373.0,0.0,3.055084745762712,95.8813559322034,22.28813559322034,25.0,50.0,6366.033898305085,4230.71186440678,135.08474576271186,40.97222222222222,31.916666666666668,26.32,30.44736842105263,33.592592592592595,375596.0,249612.0,7970.0,269.0,222.33391284942618,927.9256505576208,29.62825278810409
convnet_L3_F512_K2x2_W85,3,47345162,18054023690,ConvNet,85,2131.423728813559,373.0,0.0,5.165254237288136,95.7457627118644,31.74576271186441,25.0,50.0,6557.322033898305,4232.406779661017,129.71186440677965,40.66216216216216,31.46195652173913,26.142857142857142,30.06451612903226,33.0,386882.0,249712.0,7653.0,208.0,288.48793029785156,1200.5384615384614,36.79326923076923
convnet_L3_F512_K2x2_W95,3,57482762,22167984650,ConvNet,95,2175.762711864407,373.0,0.0,3.152542372881356,98.30508474576273,23.491525423728813,25.0,50.0,6804.016949152542,4582.101694915255,124.8135593220339,41.47058823529412,31.49,26.5,30.5,33.8,401437.0,270344.0,7364.0,178.0,336.7707848548889,1518.7865168539327,41.37078651685393
convnet_L3_F512_K3x3_W55,3,20221962,14335692810,ConvNet,55,1803.0,373.0,0.0,3.913793103448276,93.98275862068964,57.98275862068966,25.0,50.0,7527.1551724137935,4652.586206896552,123.60344827586206,41.388888888888886,32.43617021276596,27.02777777777778,30.939393939393938,34.21875,436575.0,269850.0,7169.0,514.0,116.3252401351928,525.0,13.947470817120623
convnet_L3_F512_K3x3_W65,3,26365962,20022579210,ConvNet,65,1828.033898305085,373.0,0.0,2.6228813559322037,94.54237288135592,56.79661016949152,25.0,50.0,7277.0,4434.033898305085,135.84745762711864,41.53333333333333,32.622093023255815,27.24137931034483,31.03846153846154,34.233333333333334,429343.0,261608.0,8015.0,330.0,181.4147901535034,792.7515151515152,24.28787878787879
convnet_L3_F512_K3x3_W75,3,33533962,26657280010,ConvNet,75,1860.0,373.0,0.0,3.206896551724138,95.89655172413794,51.41379310344828,25.0,50.0,7418.948275862069,4666.96551724138,129.39655172413794,42.35714285714285,32.83139534883721,27.61764705882353,31.457142857142856,34.88461538461539,430299.0,270684.0,7505.0,299.0,200.74633121490479,905.2976588628762,25.100334448160535
convnet_L3_F512_K3x3_W85,3,41725962,34239795210,ConvNet,85,1895.0,373.0,0.0,3.1186440677966103,96.55932203389833,52.559322033898304,25.0,50.0,7535.525423728814,4709.016949152542,145.6949152542373,42.01851851851852,32.98780487804878,27.55,31.3,34.63333333333333,444596.0,277832.0,8596.0,229.0,261.5185117721557,1213.240174672489,37.53711790393013
convnet_L3_F512_K3x3_W95,3,50941962,42770124810,ConvNet,95,1935.033898305085,373.0,0.0,1.8389830508474576,97.01694915254237,58.76271186440678,25.0,50.0,7533.593220338983,4613.932203389831,139.35593220338984,41.983870967741936,32.66489361702128,27.61290322580645,30.96875,34.96774193548387,444482.0,272222.0,8222.0,193.0,311.0829520225525,1410.4766839378237,42.601036269430054
convnet_L3_F512_K4x4_W35,3,15808010,11839924746,ConvNet,35,1750.8983050847455,373.0,0.0,3.1440677966101696,95.77966101694916,10.677966101694915,25.0,50.0,6540.35593220339,4656.677966101695,130.77966101694915,43.28378378378378,33.23076923076923,27.46153846153846,31.0,35.473684210526315,385881.0,274744.0,7716.0,448.0,133.8101601600647,613.2678571428571,17.223214285714285
convnet_L3_F512_K4x4_W45,3,20211210,18996087306,ConvNet,45,1769.0,373.0,0.0,2.6140350877192984,96.75438596491227,13.824561403508772,25.0,50.0,6550.754385964912,4579.105263157895,123.78947368421052,42.4375,32.37096774193548,26.73333333333333,30.44117647058824,34.54545454545455,373393.0,261009.0,7056.0,286.0,209.1865253448486,912.6188811188811,24.67132867132867
